time,open,high,low,close,Volume
2024-07-04,984526392631,990626441764,915518696742,919172780958,125943400254.17775
2024-07-05,919448441703,934518598026,848102297791,908051733201,186803648235.78366
2024-07-06,908572476119,950666212337,901577622656,945118635875,98303902805.59273
2024-07-07,945328006055,947767430111,895505333561,898782686718,76457608363.73645
2024-07-08,898908319111,946648168198,870487382513,924886212708,117967059325.67664
2024-07-09,924996795333,949878042916,917361935195,938509991291,136314621413.5555
2024-07-10,938735147945,961228551226,926576739437,946178577579,90402047587.5345
2024-07-11,946282662692,974363937863,930445957654,941650497727,87530698918.8888
2024-07-12,942064523871,962708320764,928310086307,956086865530,90393910102.67232
2024-07-13,955739694451,981514134550,949040147226,970223413685,70023806303.52402
2024-07-14,970366236459,997239123236,964910034473,988890536974,72501056303.3471
2024-07-15,989210039315,1050869307446,985804462889,1047274240081,88643265899.90627
2024-07-16,1047609793773,1061420105578,1009784607000,1043724382355,132800007441.33331
2024-07-17,1044086718582,1068307149304,1024408502398,1032267689820,125456228907.16043
2024-07-18,1032710631279,1057535216225,1015261222535,1033407731166,101170385888.49092
2024-07-19,1032265780376,1069411146842,1015848883920,1059211546722,98336361675.70044
2024-07-20,1060973799713,1077865347044,1051380098793,1068688825904,102322361798.05261
2024-07-21,1068916569203,1088907741916,1040211902612,1083312868478,68224342448.5531
2024-07-22,1082446845681,1091092587740,1047537502335,1054852755986,110117992763.54256
2024-07-23,1055603417579,1075992194923,1030213398784,1050189513127,116418605243.22551
2024-07-24,1050340716872,1065469112585,1016882618820,1029126469216,109683050155.63757
2024-07-25,1028781525958,1033154953586,972207686229,999167972298,123499402582.80508
2024-07-26,999248447748,1034620350111,996637255829,1029531089105,111252716342.14575
2024-07-27,1029915225053,1048756945036,1008750773296,1026018633010,77345398766.84393
2024-07-28,1026100496418,1035605244807,1009086455138,1026014474121,98674311886.59854
2024-07-29,1025916950683,1060362406774,1016414458191,1028120098322,79622625900.16934
2024-07-30,1027943400987,1044516084027,1004418062084,1020618787975,105442803386.07297
2024-07-31,1020667801331,1040035137264,998633569349,1003356862652,87072385646.03111
2024-08-01,1003564550822,1010283114664,956107110962,994174209983,110369073768.78836
2024-08-02,993924009530,998753801115,927871757841,935630347620,119881316361.23343
